date,sales,consulting,investment,payroll,rent,utilities,technology,marketing,travel,professional_services,misc,total_income,total_expenses,net
2022-01-01,1190.95,251.76,319.27,1087.93,175.35,48.67,165.22,105.24,172.4,51.02,69.86,1914.75,1424.29,80.51
2022-01-02,1225.95,322.38,123.01,5.09,184.78,30.68,207.74,200.86,130.68,8.42,38.55,1256.08,1491.9,0.0
2022-01-03,1220.93,243.47,666.01,1476.93,0.0,118.84,144.83,116.43,152.64,61.09,51.41,1412.82,2265.4,1159.67
2022-01-04,1336.04,134.44,187.03,840.92,404.22,76.65,214.35,2.98,104.59,47.75,21.65,1646.8,2220.54,0.0
2022-01-05,1274.01,344.79,0.0,1183.82,207.47,87.66,190.15,174.86,145.0,44.95,61.26,1490.31,2227.53,0.0
2022-01-06,1276.14,61.88,0.0,936.45,359.75,79.22,30.72,33.69,112.57,25.93,26.54,1578.82,1821.47,238.26
2022-01-07,1254.2,244.03,251.06,615.38,372.32,75.61,160.9,284.97,10.89,83.99,61.71,1884.67,2031.93,0.0
2022-01-08,1301.55,281.03,364.15,706.13,150.51,80.76,54.7,191.15,139.82,107.97,75.3,1768.32,2173.86,0.0
2022-01-09,1275.31,364.8,112.94,800.89,578.13,21.92,106.17,233.73,82.72,99.98,37.79,1802.8,1853.09,376.36
2022-01-10,1326.78,188.63,65.37,1629.0,7.62,26.69,219.56,232.6,130.62,41.23,44.05,1716.51,1327.41,423.32
2022-01-11,1231.8,307.29,0.0,1351.88,0.0,58.42,179.72,138.23,66.72,45.0,62.34,1635.17,852.78,793.19
2022-01-12,1221.48,93.5,579.43,1317.2,148.55,53.83,158.32,409.93,26.28,40.24,45.75,2227.8,1470.77,1589.02
2022-01-13,1295.7,240.28,342.36,1293.53,122.44,66.24,38.22,149.41,47.59,122.69,59.01,1788.31,1757.17,349.76
2022-01-14,1241.46,215.06,1103.81,692.56,0.0,60.34,40.28,30.97,137.4,21.14,53.1,1688.57,1144.63,0.0
2022-01-15,1293.87,116.96,0.0,697.25,283.34,83.26,110.19,242.85,90.41,74.93,23.96,1530.99,1651.58,0.0
2022-01-16,1199.19,86.4,0.0,1095.86,357.51,55.2,131.41,61.89,113.48,0.0,71.64,1735.28,1903.94,720.38
2022-01-17,1228.51,132.09,170.44,1311.58,273.37,119.14,111.25,449.88,100.54,39.27,42.7,2035.41,848.8,0.0
2022-01-18,1343.16,268.29,0.0,1193.21,304.65,59.18,112.85,206.35,0.0,20.99,41.22,1515.12,441.98,364.04
2022-01-19,1223.6,107.87,38.46,769.84,260.8,81.65,137.35,110.47,114.04,29.92,55.82,2102.68,1091.88,0.0
2022-01-20,1261.88,184.51,33.07,532.82,293.09,54.26,114.19,0.0,101.49,53.82,40.27,1359.33,2165.72,0.0
2022-01-21,1299.28,224.18,446.75,899.79,57.15,104.21,110.29,158.4,169.84,6.28,5.27,2249.63,2128.66,54.38
2022-01-22,1193.66,281.61,805.43,1470.61,207.88,77.1,100.03,64.17,176.24,71.76,52.34,1396.37,1553.16,163.68
2022-01-23,1282.13,276.64,346.79,957.98,271.99,70.56,157.26,111.47,61.96,109.6,67.49,1491.7,1166.3,381.66
2022-01-24,1270.31,83.52,0.0,505.39,84.03,78.9,62.95,313.99,94.72,97.25,48.57,1959.51,1478.06,210.43
2022-01-25,1370.52,186.1,772.64,557.83,261.7,29.54,106.39,98.38,123.92,86.48,29.09,1718.44,2267.08,974.1
2022-01-26,1287.06,116.74,0.0,33.66,0.0,68.91,24.41,281.79,16.97,32.23,59.98,1215.29,2159.5,0.0
2022-01-27,1318.34,201.3,563.36,580.56,107.51,48.83,141.62,341.86,260.51,0.0,38.56,1555.22,974.26,578.19
2022-01-28,1291.46,351.28,297.96,236.59,0.0,73.73,142.41,202.06,51.06,63.84,51.0,1816.79,1549.69,122.25
2022-01-29,1257.53,102.24,630.93,2069.96,226.9,92.35,142.35,256.16,141.72,0.0,52.7,1325.7,1473.66,498.76
2022-01-30,1252.23,0.0,10.31,712.29,240.26,89.0,146.11,296.61,137.84,8.16,52.65,1941.6,1210.58,0.0
2022-01-31,1276.72,131.99,271.46,548.23,275.89,106.77,87.55,145.02,112.41,45.17,56.58,1983.61,1188.43,713.48
2022-02-01,1271.29,293.37,982.9,622.29,216.93,83.74,91.77,306.82,133.42,130.67,79.27,1923.44,1614.88,128.65
2022-02-02,1333.11,65.9,0.0,0.0,0.0,23.15,96.94,244.33,130.17,45.86,22.55,1807.71,2254.68,11.11
2022-02-03,1250.8,333.17,87.87,910.27,71.8,54.05,113.43,247.93,72.37,0.0,77.93,983.52,1112.29,0.0
2022-02-04,1212.43,103.42,319.82,187.55,158.27,9.14,157.0,230.68,0.0,38.63,62.33,1204.26,2035.43,554.35
2022-02-05,1270.22,257.31,402.56,993.0,0.0,57.83,99.72,296.43,158.77,30.89,51.42,2415.43,1089.67,0.0
2022-02-06,1225.99,571.92,305.24,254.52,86.27,59.87,105.61,23.37,127.24,72.3,71.96,1950.19,1313.61,0.0
2022-02-07,1237.29,303.76,0.0,738.65,219.65,120.31,171.95,260.91,47.43,68.02,15.81,1717.07,2421.75,0.0
2022-02-08,1243.46,361.13,92.98,78.24,141.41,23.64,112.88,242.9,114.6,19.04,91.1,1713.63,2397.26,0.0
2022-02-09,1308.38,95.13,217.01,319.45,87.44,112.2,163.53,74.34,47.8,109.83,39.42,1632.79,2178.81,112.04
2022-02-10,1317.43,0.0,362.63,331.99,298.9,109.33,165.26,112.86,145.36,0.0,55.63,1934.3,1933.04,116.02
2022-02-11,1253.45,0.0,0.0,1246.11,169.57,92.94,145.37,152.54,150.37,141.02,17.97,1814.08,1279.43,0.0
2022-02-12,1279.13,182.09,43.5,856.23,51.34,76.96,124.7,214.35,108.97,51.78,37.38,1151.04,1257.87,207.67
2022-02-13,1351.12,163.06,0.0,1579.63,304.05,43.19,137.96,153.04,0.0,107.47,66.2,1521.25,1777.3,0.0
2022-02-14,1314.03,315.19,430.36,1726.18,401.91,55.05,221.04,50.94,112.53,0.0,43.08,1307.14,1196.3,468.76
2022-02-15,1274.18,114.42,0.0,0.0,166.44,44.05,137.28,90.88,96.53,0.0,65.36,1280.37,738.1,1687.94
2022-02-16,1270.28,226.01,0.0,1348.96,431.59,7.74,183.83,419.87,203.89,28.91,51.26,1608.44,1027.47,249.65
2022-02-17,1274.36,38.33,172.47,534.66,166.82,74.18,0.0,189.28,211.82,80.03,45.81,1805.14,447.21,518.26
2022-02-18,1246.46,197.0,0.0,622.9,297.69,34.4,237.4,267.49,171.07,30.2,35.33,2149.48,2559.73,1337.99
2022-02-19,1311.81,245.76,203.22,607.08,452.14,33.8,123.6,52.11,8.59,100.48,66.39,1446.18,1426.72,0.0
2022-02-20,1289.36,160.63,131.18,813.8,209.73,37.1,125.06,209.75,21.16,132.27,20.85,2069.61,1823.34,0.0
2022-02-21,1296.76,505.45,24.19,1225.26,122.85,106.17,78.59,188.19,195.8,0.0,30.39,1217.78,1282.6,321.6
2022-02-22,1322.85,123.08,325.55,1414.34,237.3,81.37,167.39,95.26,155.87,0.0,46.81,1782.63,1828.95,0.0
2022-02-23,1268.71,463.15,175.96,2122.9,103.95,41.26,175.33,381.3,96.08,0.0,54.11,1774.31,1993.43,312.88
2022-02-24,1227.35,56.12,0.0,734.03,508.05,95.75,119.92,346.71,102.14,16.45,64.16,1859.93,849.01,305.17
2022-02-25,1262.94,434.89,0.0,0.0,285.45,47.17,75.64,257.07,0.0,28.05,74.69,1431.96,873.58,549.09
2022-02-26,1261.38,340.95,589.54,708.75,108.03,97.75,269.57,219.24,256.61,101.7,93.14,1293.42,1933.98,0.0
2022-02-27,1282.28,48.49,0.0,1142.69,455.79,60.71,118.68,258.77,28.01,93.63,74.36,1319.36,1114.1,594.7
2022-02-28,1236.27,50.36,0.0,1406.6,107.37,41.11,163.49,190.52,166.86,64.6,51.39,1513.14,912.24,788.84
